id,name,adm1_code,Population_Over_25,No_High_School_Diploma,High_School_Diploma,Some_College,Associates_Degree,Bachelors_Degree,Graduate_Professional_Degree
0,Andover,ct0901301080,2285,3.76,20.31,22.41,9.89,24.51,19.12
1,Ansonia,ct0900901220,12870,10.42,40.54,20.17,8.74,10.92,9.21
2,Ashford,ct0901501430,3105,7.12,25.93,23.12,8.08,22.8,12.95
3,Avon,ct0900302060,12893,2.77,10.25,10,8.04,38.83,30.11
4,Barkhamsted,ct0900502760,2620,3.82,22.94,17.79,11.37,28.63,15.46
5,Beacon Falls,ct0900903250,4106,8.01,34.32,16.15,11.25,16.76,13.52
6,Berlin,ct0900304300,15432,6.41,30.53,15.79,8.3,24.56,14.41
7,Bethany,ct0900904580,4087,4.7,22.17,18.2,9.89,23.2,21.85
8,Bethel,ct0900104720,13648,6.94,23.97,18.46,7.04,27.24,16.35
9,Bethlehem,ct0900504930,2550,4.67,27.1,21.06,7.18,20.35,19.65
10,Bloomfield,ct0900305910,16113,8.42,28.28,17.47,9.84,18.51,17.49
11,Bolton,ct0901306260,3519,5.46,23.98,14.95,6.93,26.37,22.31
12,Bozrah,ct0901106820,1892,6.34,37.79,16.75,9.62,16.17,13.32
13,Branford,ct0900907310,21560,5.7,26.83,17.93,6.69,22.33,20.52
14,Bridgeport,ct0900108070,94935,24.4,32.38,19.22,5.93,11.47,6.6
15,Bridgewater,ct0900508210,1341,3.8,17.6,16.93,4.77,29.31,27.59
16,Bristol,ct0900308490,42934,10.43,35.34,18.39,9.47,17.89,8.49
17,Brookfield,ct0900108980,11680,4.56,19.41,15.71,9.37,32.31,18.64
18,Brooklyn,ct0901509190,6163,8.79,31.71,21.29,10.69,15.64,11.88
19,Burlington,ct0900310100,6626,3.02,22.23,18.62,6.96,28.87,20.3
20,Canaan,ct0900510940,891,3.59,24.47,19.98,11.45,20.76,19.75
21,Canterbury,ct0901512130,3607,6.4,35.07,22.76,14.14,14.33,7.29
22,Canton,ct0900312270,7618,2.94,17.05,17.37,8.34,28.25,26.06
23,Chaplin,ct0901513810,1743,7.8,41.42,21,5.05,14.97,9.75
24,Cheshire,ct0900914160,21276,4.63,20.75,13.68,7.55,28.32,25.07
25,Chester,ct0900714300,3278,4.27,25.9,19.37,8.11,26.39,15.95
26,Clinton,ct0900715350,9532,6.56,27.2,19.86,8.55,22.71,15.12
27,Colchester,ct0901115910,11104,5,26.77,21.29,8.95,25.74,12.25
28,Colebrook,ct0900516050,1065,5.45,29.77,25.63,9.86,15.59,13.71
29,Columbia,ct0901316400,3935,3.71,26.86,15.25,10.5,27.29,16.39
30,Cornwall,ct0900517240,1011,4.35,16.72,14.94,10.19,28.09,25.72
31,Coventry,ct0901317800,8599,2.87,27.98,19.01,10.36,22.97,16.8
32,Cromwell,ct0900718080,10513,6.15,22.67,18.03,7.47,26.04,19.63
33,Danbury,ct0900118500,57671,18.16,29.25,15.82,6.17,17.62,12.98
34,Darien,ct0900118850,13029,2.21,7.42,6.24,3.13,46.19,34.81
35,Deep River,ct0900719130,3308,3.66,33.59,15.3,9.7,20.56,17.2
36,Derby,ct0900919550,8984,13.81,31.06,19.42,11.68,16.15,7.88
37,Durham,ct0900720810,5289,3.48,26.39,13.75,7.85,27.36,21.18
38,East Granby,ct0900322070,3827,2.48,18.5,12.59,10.01,34.73,21.69
39,East Haddam,ct0900722280,6697,6.75,30.39,16.71,12.01,20.61,13.54
40,East Hampton,ct0900722490,9386,5.27,25.7,19.24,11.07,21.81,16.91
41,East Hartford,ct0900322630,34549,17.07,33.96,21.21,9.02,12.37,6.37
42,East Haven,ct0900922910,21094,9.69,41.16,17.15,8.3,15.2,8.5
43,East Lyme,ct0901123400,14226,6.08,22.93,18.54,8.12,21.57,22.77
44,East Windsor,ct0900324800,8673,6.2,29.33,19.55,10.38,20.24,14.3
45,Eastford,ct0901521860,1262,3.8,28.29,22.42,12.12,18.86,14.5
46,Easton,ct0900123890,5450,5.82,16.46,14.13,5.63,34.11,23.85
47,Ellington,ct0901325360,11084,5.87,24.92,15.3,7.89,24.3,21.73
48,Enfield,ct0900325990,32286,8.67,35.94,20.55,8.58,16.2,10.07
49,Essex,ct0900726270,5057,4.03,15.92,17.22,7.3,34.21,21.32
50,Fairfield,ct0900126620,39086,4.6,15.49,11.18,5.34,34.47,28.93
51,Farmington,ct0900327600,18438,4.11,17.96,15.22,6,27.4,29.31
52,Franklin,ct0901129910,1410,6.52,35.6,22.62,8.94,13.05,13.26
53,Glastonbury,ct0900331240,24610,3.45,15.39,13.21,7.37,28.41,32.18
54,Goshen,ct0900532290,2175,4.55,24.18,21.38,12.05,21.33,16.51
55,Granby,ct0900332640,7926,2.41,16.57,16.15,9.68,33.18,22.02
56,Greenwich,ct0900133620,42698,4.84,13.86,10.75,5.04,32.91,32.6
57,Griswold,ct0901133900,7664,12.19,35.06,23.37,9.37,11.09,8.92
58,Groton,ct0901134250,25564,5.96,28.29,20.98,8.21,20.47,16.1
59,Guilford,ct0900934950,16399,3.68,14.74,13.78,7.23,28.4,32.15
60,Haddam,ct0900735230,6097,2.56,25.01,13.86,12.38,24.88,21.31
61,Hamden,ct0900935650,40302,6.05,24.86,17.64,6.57,21.25,23.63
62,Hampton,ct0901536000,1385,4.98,37.76,18.77,9.82,14.95,13.72
63,Hartford,ct0900337070,74600,27.31,32.31,17.8,5.95,9.85,6.79
64,Hartland,ct0900337140,1474,6.45,31.68,17.84,11.94,23.81,8.28
65,Harwinton,ct0900537280,4009,7.98,24.79,19.06,12.5,21.38,14.29
66,Hebron,ct0901337910,6482,4.06,19.95,15.27,10.95,30.27,19.5
67,Kent,ct0900540290,2061,6.16,21.83,17.18,8.83,23.19,22.8
68,Killingly,ct0901540500,12394,13.69,32.6,20.35,11,14.62,7.75
69,Killingworth,ct0900740710,4640,1.64,24.68,13.25,12.78,21.85,25.8
70,Lebanon,ct0901142390,5365,2.89,26.47,19.05,10.27,20.22,21.1
71,Ledyard,ct0901142600,10320,3.28,24.18,23.59,9.08,21.79,18.09
72,Lisbon,ct0901143230,3044,8.34,38.44,23.95,9.36,9.2,10.71
73,Litchfield,ct0900543370,6275,4.35,30.02,15.33,9.02,21.53,19.75
74,Lyme,ct0901144210,1927,4.51,17.18,12.3,6.07,32.49,27.45
75,Madison,ct0900944560,12507,1.69,14.29,13,7.19,33.85,29.99
76,Manchester,ct0900344700,40651,6.99,25.96,19.49,8.6,23.3,15.66
77,Mansfield,ct0901344910,7601,5.62,19.1,15.62,5.59,22.19,31.88
78,Marlborough,ct0900345820,4552,3.36,24.54,13.58,9.09,28.38,21.05
79,Meriden,ct0900946520,45242,12.29,38.93,18.25,8.04,15.77,6.72
80,Middlebury,ct0900946940,5492,4.02,16.44,16.37,7.98,25.87,29.32
81,Middlefield,ct0900747080,3204,4.12,34.58,12.52,9.77,17.88,21.13
82,Middletown,ct0900747360,31700,8.03,29.53,18.14,7.93,19.65,16.72
83,Milford,ct0900947535,40466,5.26,27.1,18.65,7.63,23.85,17.52
84,Monroe,ct0900148620,13375,6.62,22.44,14.75,9.05,27.45,19.68
85,Montville,ct0901148900,14618,10.15,36.26,22.98,9.36,11.77,9.5
86,Morris,ct0900549460,1696,5.01,26.18,19.34,9.32,22.82,17.33
87,Naugatuck,ct0900949950,21830,9.5,32.78,20.6,9.57,14.82,12.73
88,New Britain,ct0900350440,48005,19.35,38.8,15.78,7.67,11.62,6.78
89,New Canaan,ct0900150580,13107,2.88,7.21,8.75,4.04,41.55,35.58
90,New Fairfield,ct0900150860,9521,3.51,22.73,17.4,7.72,27.28,21.36
91,New Hartford,ct0900551350,4651,6.11,20.3,19.65,7.98,25.26,20.71
92,New Haven,ct0900952070,81047,15.35,31.31,14.93,4.47,15.53,18.41
93,New London,ct0901152350,16151,16.7,31.6,19.23,7.13,15.16,10.19
94,New Milford,ct0900552630,19484,7.66,24.98,19.89,7.78,24.91,14.78
95,Newington,ct0900352140,22521,8.89,25.9,16.76,9.17,24.26,15.02
96,Newtown,ct0900152980,18972,4.15,18.18,15.92,5.8,30.21,25.73
97,Norfolk,ct0900553470,1126,8.26,27.62,12.97,7.28,22.38,21.49
98,North Branford,ct0900953890,10758,5.39,34.88,20.04,6.84,18.89,13.96
99,North Canaan,ct0900554030,2548,9.11,47.57,15.7,5.22,13.5,8.91
100,North Haven,ct0900954870,17368,5,30.55,16.56,6.82,22.29,18.78
101,North Stonington,ct0901155500,3747,5.07,35.84,21.38,7.45,16.36,13.9
102,Norwalk,ct0900156060,62227,12.66,22.58,16.65,7.01,24.33,16.77
103,Norwich,ct0901156270,27080,12.77,36.77,23.44,7.95,11.59,7.47
104,Old Lyme,ct0901157040,5764,3.87,18.88,16.41,6.59,26.35,27.9
105,Old Saybrook,ct0900757320,7742,5.77,26.39,16.53,8.72,24.81,17.77
106,Orange,ct0900957600,9892,4.13,19.16,12.45,6.73,26.68,30.84
107,Oxford,ct0900958300,8991,4.94,28.22,20.08,9.58,20.55,16.64
108,Plainfield,ct0901559980,10858,15.77,39.45,22.7,7.94,8.22,5.91
109,Plainville,ct0900360120,13191,10.08,33.27,18.83,9.2,16.99,11.63
110,Plymouth,ct0900560750,8541,8.48,40.3,17.86,9.4,14.69,9.27
111,Pomfret,ct0901561030,2837,5.75,24.29,17.84,8.04,24.43,19.67
112,Portland,ct0900761800,6899,6.17,28.03,15.18,12.28,20.89,17.45
113,Preston,ct0901162150,3429,5.86,35.14,25.69,10.47,13.79,9.04
114,Prospect,ct0900962290,7135,6.55,30.22,16.13,9.25,24.11,13.75
115,Putnam,ct0901562710,6851,7.93,32.17,22.89,12.95,15.72,8.35
116,Redding,ct0900163480,6483,1.22,13.37,12.93,5.82,35.29,31.37
117,Ridgefield,ct0900163970,16870,1.75,7.74,9.77,4.71,40.87,35.16
118,Rocky Hill,ct0900365370,15339,5.97,21.47,15.48,7.35,32.9,16.84
119,Roxbury,ct0900565930,1637,1.95,16.13,13.07,6.72,37.94,24.19
120,Salem,ct0901166210,2957,4.43,22.73,17.01,11.3,20.43,24.11
121,Salisbury,ct0900566420,2859,4.62,15.22,11.12,9.41,32.35,27.28
122,Scotland,ct0901567400,1166,5.23,29.33,27.7,8.49,19.47,9.78
123,Seymour,ct0900967610,11165,5.73,31.3,23.77,6.57,19.5,13.13
124,Sharon,ct0900567960,2379,3.36,24.76,12.4,10.63,25.14,23.71
125,Shelton,ct0900168170,29839,6.65,28.92,17.24,7.78,22.69,16.72
126,Sherman,ct0900168310,2604,1.65,21.7,17.82,11.1,26.57,21.16
127,Simsbury,ct0900368940,16931,3.12,10.54,12.95,6.49,35.83,31.08
128,Somers,ct0901369220,8366,10.89,30.33,18.58,8.59,18.68,12.93
129,South Windsor,ct0900371390,18088,4.22,22.42,14.88,8.66,27.65,22.17
130,Southbury,ct0900969640,14456,6,20.9,13.65,8.47,28.5,22.48
131,Southington,ct0900370550,31694,5.76,27.68,17.61,9.22,24.26,15.48
132,Sprague,ct0901171670,2144,9.33,39.93,21.41,9.19,12.73,7.42
133,Stafford,ct0901372090,7981,9.71,35.37,20.65,12.43,14.92,6.92
134,Stamford,ct0900173070,90915,11.3,21.11,14.64,5.34,26.16,21.45
135,Sterling,ct0901573420,2551,12.54,40.34,21.52,10.94,8.55,6.12
136,Stonington,ct0901173770,14049,5.69,24.58,13.59,8.1,25.39,22.65
137,Stratford,ct0900174190,38430,9.69,30.65,17.21,9.05,20.07,13.34
138,Suffield,ct0900374540,11112,8.9,25.8,17.4,8.01,21.56,18.32
139,Thomaston,ct0900575730,5500,7.55,37.2,19.35,10,16.55,9.36
140,Thompson,ct0901575870,6997,12.68,27.73,22.28,10.82,16.02,10.48
141,Tolland,ct0901376290,9834,2.32,23.64,19.63,9.24,25.23,19.94
142,Torrington,ct0900576570,26230,12.64,34.83,20,9.96,14.61,7.96
143,Trumbull,ct0900177200,24882,5.25,19.97,15.7,6.35,28.57,24.15
144,Union,ct0901377830,688,3.2,31.83,19.62,10.17,23.11,12.06
145,Vernon,ct0901378250,21437,6.44,31.05,19.17,8.81,21.35,13.17
146,Voluntown,ct0901178600,1900,5.42,40.11,24.26,11,11.58,7.63
147,Wallingford,ct0900978740,34366,6.7,32.98,14.33,9.5,21.7,14.79
148,Warren,ct0900579510,1145,4.1,25.41,19.3,5.85,24.98,20.35
149,Washington,ct0900579720,2645,3.52,13.42,18.83,6.88,34.4,22.95
150,Waterbury,ct0900980070,70296,20.9,36.18,19.7,7.35,9.9,5.97
151,Waterford,ct0901180280,14273,6.33,29.66,16.73,9.09,19.62,18.56
152,Watertown,ct0900580490,15702,8.15,28.74,18.38,12.53,18.55,13.65
153,West Hartford,ct0900382590,43785,5.67,14.31,11.92,5.58,29.25,33.27
154,West Haven,ct0900982870,36039,12.43,36.98,19.67,6.81,14.35,9.75
155,Westbrook,ct0900781680,5439,8.99,30.58,10.65,7.21,24.53,18.05
156,Weston,ct0900183430,6643,0.84,6.62,7.27,2.03,39.92,43.31
157,Westport,ct0900183500,18438,1.51,10.57,8.76,2.78,36.87,39.51
158,Wethersfield,ct0900384900,19055,7.55,26.02,17.81,6.96,23.76,17.9
159,Willington,ct0901385950,3868,7.42,29.5,22.26,8.63,17.45,14.74
160,Wilton,ct0900186370,11898,2.17,6.42,9.27,5.66,39.44,37.03
161,Winchester,ct0900586440,7961,11.19,37.06,18.3,9.19,14.33,9.92
162,Windham,ct0901586790,14176,17.97,35.36,20.87,6.21,10.91,8.69
163,Windsor,ct0900387000,20831,7.62,24.04,19.01,8.39,22.98,17.96
164,Windsor Locks,ct0900387070,9109,8.9,37.48,20.21,9.65,14.49,9.27
165,Wolcott,ct0900987560,11810,7.16,35.85,17.76,10.02,17.42,11.79
166,Woodbridge,ct0900987700,6241,4.05,10.8,13.06,4.21,27.62,40.25
167,Woodbury,ct0900587910,7308,5.71,19.87,19.05,7.46,22.55,25.37
168,Woodstock,ct0901588190,5661,4.06,22.61,22.15,10.14,25.93,15.1
